pais	indicador	n_results
Mexico	"organic matter"	55
Mexico	Nitrogen	107
Mexico	pH	47
Mexico	"Soil Texture"	3
Mexico	"Soil organisms"	1
Mexico	Mycorrhizal	15
Mexico	Invertebrates	0
Mexico	Insects	80
Mexico	"Moisture retention"	1
Mexico	Salinization	0
Mexico	Erosion	60
Mexico	"Water efficiency"	1
Mexico	Fertilizer 	70
Mexico	Leaching	8
Mexico	Herbicide	16
Mexico	Pesticide	13
Mexico	Eutrophication	4
"United States"	"organic matter"	123
"United States"	Nitrogen	387
"United States"	pH	50
"United States"	"Soil Texture"	20
"United States"	"Soil organisms"	2
"United States"	Mycorrhizal	13
"United States"	Invertebrates	11
"United States"	Insects	256
"United States"	"Moisture retention"	1
"United States"	Salinization	0
"United States"	Erosion	75
"United States"	"Water efficiency"	0
"United States"	Fertilizer 	283
"United States"	Leaching	72
"United States"	Herbicide	167
"United States"	Pesticide	154
"United States"	Eutrophication	18
Ecuador	"organic matter"	0
Ecuador	Nitrogen	3
Ecuador	pH	1
Ecuador	"Soil Texture"	0
Ecuador	"Soil organisms"	0
Ecuador	Mycorrhizal	0
Ecuador	Invertebrates	0
Ecuador	Insects	2
Ecuador	"Moisture retention"	0
Ecuador	Salinization	0
Ecuador	Erosion	0
Ecuador	"Water efficiency"	0
Ecuador	Fertilizer 	5
Ecuador	Leaching	1
Ecuador	Herbicide	0
Ecuador	Pesticide	1
Ecuador	Eutrophication	0
